Python Memory Usage,Java Memory Usage,Python CPU Usage,Java CPU Usage
0,37276,0,153.3
32588,67742,0,106.7
32598,75039,0,26.7
32563,78780,0,20.0
32592,80462,0,13.3
32598,82417,0,20.0
32587,83382,0,20.0
32557,87176,0,100.0
32560,87764,0,193.3
32599,128181,0,300.0
32111,228131,0,213.3
32138,313595,0,66.7
32135,367692,0,280.0
32139,403011,0,273.3
32109,450510,0,240.0
32139,460643,0,66.7
32118,467427,0,0
32140,467554,0,6.7
32138,467848,0,0
32120,463110,0,80.0
32119,464660,0,0
32139,464655,0,0
32125,464786,0,80.0
32138,469352,0,0
32143,469392,0,6.7
32107,469581,0,0
32137,472712,0,0
32151,475338,0,13.3
32116,495034,0,420.0
32151,553241,0,333.3
32107,569202,0,413.3
32105,577724,0,360.0
32120,582159,0,180.0
32138,584484,0,0
32152,588157,0,26.7
32112,588274,0,20.0
32116,604824,0,393.3
32139,639766,6.2,440.0
32139,670453,0,526.7
32104,692764,0,468.8
32141,700857,0,180.0
32142,700000,0,113.3
32124,710937,0,426.7
32106,721886,0,156.2
32105,723345,0,273.3
32122,730158,0,166.7
32137,746756,0,200.0
32107,767413,0,260.0
32125,754920,0,333.3
32111,755750,0,180.0
32139,757033,0,280.0
32141,760796,0,100.0
32139,761800,0,180.0
32139,766800,0,113.3
32140,757450,0,100.0
32121,760854,0,153.3
31904,867907,33.3,120.0
32442,876921,37.5,100.0
32476,879267,60.0,333.3
30902,906568,60.0,286.7
30914,925757,53.3,143.7
30916,935052,60.0,93.3
30918,938390,73.3,86.7
30900,938433,68.8,46.7
30900,944424,62.5,40.0
30919,960959,66.7,46.7
30901,975529,66.7,33.3
30930,975621,80.0,26.7
30888,978492,80.0,113.3
30896,978782,68.8,140.0
30907,978926,80.0,20.0
30888,979036,68.8,26.7
30900,979237,68.8,31.2
30923,974660,73.3,80.0
30918,975066,73.3,26.7
30900,975084,75.0,20.0
30919,975102,73.3,26.7
30894,975204,80.0,26.7
30919,975218,68.8,33.4
30896,975217,73.3,26.7
30889,975215,73.3,20.0
30931,975215,73.3,26.7
30930,975272,73.3,20.0
30929,975293,73.3,20.0
30909,975364,73.3,26.7
30912,975363,80.0,37.5
30931,975378,80.0,40.0
30912,975375,80.0,33.4
30930,975391,73.3,20.0
30908,975410,66.7,33.3
30940,975441,75.0,26.7
30900,975467,66.7,26.7
30909,975487,73.3,20.0
30938,975483,73.3,26.7
30926,975523,73.3,20.0
30941,975528,73.3,20.0
30931,975538,68.8,20.0
30928,975608,80.0,33.3
30957,975628,80.0,33.4
30960,975627,73.3,18.8
30937,975657,68.8,20.0
30937,975660,73.3,26.7
30947,975675,75.0,20.0
30936,975680,66.7,26.7
30959,975684,68.8,20.0
30960,975692,73.3,56.2
30936,987888,73.3,26.7
30940,987890,73.3,26.7
30941,987898,73.3,20.0
30969,987893,80.0,26.7
30939,982599,66.7,20.0
30967,982600,66.7,26.7
30934,982616,75.0,26.7
30928,982618,73.3,20.0
30964,982632,73.3,26.7
30958,982656,73.3,26.7
30971,983912,73.3,20.0
30964,983922,62.5,26.7
30958,983921,66.7,18.8
30959,983925,73.3,20.0
30961,983955,73.3,26.7
30965,983962,62.5,26.7
30940,983968,73.3,26.7
30962,983974,75.0,20.0
30968,983991,73.3,20.0
30965,983988,68.8,13.3
30935,984063,68.8,26.7
30960,984088,80.0,20.0
30941,984077,73.3,20.0
30960,984104,66.7,26.7
30936,984097,73.3,26.7
30940,984098,73.3,25.0
30959,984107,66.7,20.0
30957,984115,80.0,20.0
30931,984110,66.7,20.0
30964,984142,73.3,26.7
30967,984143,73.3,20.0
30961,984162,73.3,20.0
30940,984169,73.3,26.7
30964,984179,68.8,20.0
30971,984161,80.0,20.0
30934,984170,66.7,26.7
30960,984173,73.3,20.0
30935,984185,73.3,20.0
30931,984179,73.3,26.7
30958,984172,66.7,20.0
30938,984188,66.7,33.4
30960,984605,0,0
31290,754213,0,0
