Python Memory Usage,Java Memory Usage
0,914093
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,529
0,56287
0,83386
18278,98181
18028,156073
17990,176925
18011,222667
17976,229602
17962,261542
17968,332501
17952,359897
17950,385368
17947,409868
17977,415254
17980,415594
17952,457739
17945,466325
17959,470570
17979,475654
17972,476514
17961,531360
17963,530012
17977,562977
17934,565666
17944,569040
17969,564152
17955,568050
17980,568551
17973,568756
17967,568869
17958,569117
17962,569755
17974,573207
17961,604307
17967,624778
17976,660162
17943,667479
17959,669887
17945,678005
17962,684304
17962,688473
17965,695684
17794,711804
17935,694687
17948,696568
17946,698011
17955,700205
17975,700380
17818,762158
17718,801595
17757,826419
16215,840795
16210,846950
16201,888179
16198,920973
16203,927154
16191,927189
16218,927205
16201,927239
16216,927232
16213,927238
16206,927246
16202,927250
16217,905491
16200,905487
16203,905497
16199,905498
16216,905507
16195,899463
16202,899468
16194,899481
16218,899468
16217,899482
16219,899480
16181,899467
16212,899488
16204,899480
16183,899485
16217,899435
16201,899473
16206,899463
16204,899456
16220,899465
16207,899483
16191,899477
16217,899482
16205,899485
16210,899499
16218,899512
16207,900093
16217,900095
16205,900094
16218,900094
16216,900117
16199,900122
16195,900135
16194,900138
16210,900147
16205,900162
16202,904289
16218,904276
16197,904316
16217,904318
16203,904349
16183,904404
16203,904428
16198,904435
16218,904451
16210,903425
16194,903461
16182,903446
16213,903453
16215,903463
16203,903450
16199,903451
16206,903480
16217,903478
16203,903495
16207,903484
16202,903491
16205,903485
16219,903496
16203,903497
16213,903490
16201,903482
16197,903486
16210,903482
16193,903522
16216,903545
16200,903597
16199,903608
16221,903610
16216,903598
16207,903601
16218,903612
16193,903624
16209,903641
16194,903639
16198,903635
16203,903645
16194,903635
16181,903670
16222,903639
16216,903637
16192,903651
16210,903656
16204,903652
16203,903649
16198,903646
16220,903647
16207,903665
16203,903657
16197,903659
16204,903658
16201,903677
16218,903687
16200,903731
16184,903724
16218,903731
16196,903730
16206,903734
16213,903742
16219,903734
16198,903745
16204,903725
16204,903746
16205,903743
16203,903736
16198,903732
16206,903788
16203,903768
16206,903770
16203,903777
16197,903774
16181,903778
16204,903783
16193,903780
16217,903803
16203,903781
16218,903793
16212,903800
16219,903803
16217,903807
16211,903801
16204,903803
16220,903811
16217,903805
16217,903819
16218,903822
16199,903807
16205,903821
16217,903803
16213,903813
16203,903809
16214,903829
16211,903834
16201,903815
16184,903826
16217,903823
16216,903823
16191,903826
16203,903833
16216,903831
16183,903827
16220,903836
16219,903831
16218,903836
16201,903829
16203,903843
16216,903834
16195,903868
16213,903859
16217,903868
16204,903878
16212,903859
16206,903857
16216,903846
16218,903854
16207,903868
16202,903862
16217,903866
16206,903844
16216,903855
16207,903851
16184,903858
16218,903861
16212,903857
16213,903868
16212,903858
16204,903868
16212,903862
16194,903868
16218,903872
16218,903871
16193,903876
16203,903851
16220,903859
16217,903866
16215,903862
16184,903867
16184,903867
16209,903878
16218,903865
16196,903860
16191,903869
16203,903870
16217,903872
16200,903874
16212,903885
16222,903883
16199,903898
16206,903899
16215,903886
16209,903894
16203,903893
16218,903890
16201,903886
16201,903905
16198,903896
16219,903907
16206,903895
16219,903891
16199,903890
16206,903889
16217,903901
16206,903897
16181,903917
16216,903913
16212,903920
16203,903892
16198,903888
16183,903894
16217,903897
16203,903914
16200,903901
16216,903903
16214,903909
16218,903921
16203,903913
16207,903910
16194,903916
16215,903918
16216,903919
16200,903906
16196,903910
16192,903904
16206,903913
16198,903909
16213,903906
16209,903930
16221,903929
16199,903935
16209,747276
16200,793852
16261,799056
16235,801136
16263,803242
16247,810808
16263,810801
16238,810819
16245,810819
16249,810849
16233,810842
16223,810845
16237,810846
16233,812888
16224,816985
16260,819048
16233,821077
16243,825232
16262,825234
16230,825232
16255,825234
16260,824023
16245,824028
16260,824014
16254,824029
16233,824037
16251,824026
16238,824025
16222,824025
16238,824012
16245,824016
16232,824006
16243,824009
16232,826075
16256,828101
16252,832200
16252,838623
16254,843008
16250,847101
16235,849141
16240,853696
16239,870406
16221,873024
16233,879182
16263,881212
16252,885326
16250,889408
16243,891469
16233,895572
16237,897627
16221,901703
16241,903752
16255,905821
16217,909894
16253,911957
16239,914005
16252,918114
16230,918107
16261,918102
16249,918097
16263,918108
16233,918114
16255,918115
16230,918114
16239,918109
16255,918119
16245,918116
16233,918125
16244,918129
16261,918110
16232,918129
16240,918109
16253,918137
16247,918134
16239,918121
16221,918125
16258,918123
16250,918134
16262,918124
16248,918112
16221,918120
16260,918122
16241,918141
16239,918120
16255,918132
16233,918121
16247,918132
16245,918126
16247,918130
16252,918122
16253,918127
16264,918145
16242,918153
16259,918161
16258,918144
16258,918162
16237,918165
16243,918161
16252,918145
16250,918155
16240,918149
16252,918166
16234,918154
16232,918157
16239,918159
16233,918158
16260,918166
16232,925099
16251,925156
16243,925149
16258,925141
16261,925165
16244,925172
16245,925166
16232,925142
16259,925161
16240,925155
16233,913287
16254,913294
16262,913287
16249,913331
16260,913327
16233,913321
16262,913338
16240,913325
16233,913325
16247,913334
16254,913341
16252,913336
16240,913328
16254,913334
16239,913347
16233,913345
16223,913329
16261,913321
16247,913328
16260,913347
16259,913338
16245,913332
16225,913326
16247,913331
16253,913329
16261,913339
16263,913342
16245,913340
16254,913327
16259,913345
16256,913324
16255,913343
16254,913317
16252,913325
16259,913333
16259,913341
16221,913335
16235,913337
16233,913355
16247,913354
16239,913354
16232,913353
16222,913358
16232,913349
16252,913362
16258,913369
16238,913346
16233,913355
16238,913365
16243,913374
16255,913370
16233,913372
16245,913368
16247,913366
16255,913378
16258,913374
16256,913373
16253,913373
16255,913371
16260,913367
16240,913377
16238,913363
16221,913388
16240,913388
16245,913378
16254,913378
16223,913384
16232,913371
16233,913374
16255,913386
16260,913389
16233,913380
16222,913396
16222,913370
16243,913374
16241,913401
16259,913384
16260,913398
16239,913401
16258,913394
16259,913399
16249,913413
16258,913398
16261,913406
16252,913396
16261,913402
16258,913409
16240,913394
16255,913401
16258,913395
16240,913395
16259,913396
16231,913398
16259,913406
16246,913421
16235,913392
16240,913408
16248,913394
16219,913404
16252,913406
16263,913399
16260,913403
16262,913416
16221,913406
16255,913415
16260,913418
16260,913412
16261,913417
16258,913419
16250,913436
16240,913416
16243,913422
16249,913427
16245,913426
16232,913417
16221,913420
16232,913419
16245,913431
16241,913444
16244,913430
16251,913431
16240,913427
16243,913424
16243,913439
16261,913433
16260,913444
16235,913442
16262,913433
16260,913449
16490,693779
16512,693785
